target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
CD47 0.149469307590951 0 0.15103894086178 0 0.50924249597986 NaN
MC1R 0.110567423561165 0 0.111309341382255 0 0.504688380269443 NaN
GFRA1 0.246759638338295 0 0.250018966675712 0 0.511073816628717 NaN
FGFR1 0.128009456312961 0 0.139363395467473 0 0.563186202396197 NaN
ATP6AP2 0.288146779656191 0 0.290789502619057 0 0.504738923591047 NaN
ITGB4 0.106977479320572 0 0.107277761455029 0 0.502149488392111 NaN
UNC5C 0.142495332420465 0 0.147814077029406 0 0.526047046896808 NaN
FZD3 0.0674870439212022 0 0.0703185164947794 0 0.518730286990631 NaN
ROR2 0.100861393727548 0 0.104361103077292 0 0.524830350997795 NaN
CD46 0.128875081370768 0 0.13213443605775 0 0.517921052612833 NaN
PLXNB2 0.0734364142209105 0 0.0768397341673105 0 0.520037166540229 NaN
IL6ST 0.500700067847345 0 0.513148879156076 0 0.509361870407792 NaN
ITGB5 0.118970051345065 0 0.120754634865257 0 0.507607724638619 NaN
ITGAL 0.0734306080613613 0 0.0767663198397215 0 0.519638081203944 NaN
IFNGR2 0.152873301192997 0 0.161234737655739 0 0.548203109951669 NaN
SDC2 0.13485536527564 0 0.141285322238081 0 0.533283394212867 NaN
ADIPOR1 0.105290753704072 0 0.111196695405838 0 0.542816339166973 NaN
IFNAR1 0.403153171114707 0 0.428999659524012 0 0.520823417962801 NaN
RAMP1 0.141875517855593 0 0.15675932915006 0 0.573264014208057 NaN
LRP11 0.073459218166149 0 0.0770168188271708 0 0.520948477176672 NaN
ITGB1 0.0681395893932327 0 0.069515389053494 0 0.509101158188459 NaN
GFRA2 0.33784870516274 0 0.353036056184302 0 0.515351820723207 NaN
EPHA6 0.247032334240152 0 0.258465077643809 0 0.560123072465837 NaN
IL17RA 0.0682348099973944 0 0.0717002908844958 0 0.522973219421508 NaN
RET 0.0734514009432376 0 0.076747615949118 0 0.51940617022606 NaN
PTPRF 0.145605872134018 0 0.151825786492476 0 0.532185880025132 NaN
IGF1R 0.502984566640283 0 0.546478079856306 0 0.526661092648352 NaN
ITGA2 0.073459218166149 0 0.0770168188271708 0 0.520948477176672 NaN
FGFRL1 0.0678872565477645 0 0.0716155377427367 0 0.524695693421964 NaN
ITGAE 0.105308131816841 0 0.107610594179255 0 0.516707499804647 NaN
IL10RB 0.0732305902192783 0 0.0760609245809001 0 0.516653511739684 NaN
ERBB3 0.140302042441184 0 0.142678374216349 0 0.512197865590082 NaN
