target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
MBC 0.244148646680556 0 0.232001024247761 9.56450643880893 0.000761433722788167 4.08605355185248e-07
Hepatocyte 0.10730358454637 0 0.105492835665055 3.18679828602825 0.373623381314714 0.000326330967653872
Macrophage 0.0924877199587392 0 0.0910469742062986 2.92323390538505 0.339142797759947 0.00205392132840432
B.plasma 0.0781212166579376 0 0.0771433057534007 2.11890327492753 0.40985445279654 0.000267743134728736
Endothelial 0.0402005713909389 0 0.0398446461821253 2.03369893618223 0.475946272032233 0.00684750878131108
B 0.000177260490246219 0 0.000177297837639662 0.0127531000969805 0.500152392762482 0.171718198068957
Fibroblast 0.0544604967018331 0 0.0533161442831355 3.92043894187159 0.394235118758335 0.000736814287076061
NK 0.0131112428876918 0 0.0130890070155594 0.47721201904885 0.49772733630809 0.0179710787766626
Monocyte 0.0495346869882693 0 0.0494600886734693 0.275939112586102 0.493811460334163 0.0167590292587895
T 0.101393031414284 0 0.100552421538692 1.54754537291712 0.421130966812926 0.000399502916616078
