target intercept intra juxta.15 para.100 p.intercept p.intra p.juxta.15 p.para.100
CTLA4 0.0498044146571172 0.0410045158487986 0.0427675277303471 0.0155621319136049 3.50324441044183e-26 0.211532517374579 0.112356414111537 0.445870334868204
CEACAM1 -0.14450553597136 0.791607597194255 0.125332735952829 0.16126011400844 5.56025964124066e-10 0 8.9938401491222e-09 3.95260763485007e-24
IL2RA 0.122281733609608 0.157497510952072 0.0653872687042916 0.0388830041895564 2.29312240372629e-30 3.50777384847888e-07 0.008665480642766 0.0363353590634032
FAT1 0.127387486831405 0.257150757008805 0.119871291068854 0.115015887606509 3.23875890748332e-18 2.16043538672713e-19 6.11817280454034e-07 4.90542554346727e-11
PBK 0.010877120864104 0.528864771005886 0.178590775620121 0.131994876590268 0.328240311806633 1.05930250267509e-114 2.40431736877803e-15 9.83720356566556e-15
BANK1 0.13368798534624 0.0927929231784405 0.112747483971024 -0.000886304985904712 1.5411594134797e-37 0.00108001425620439 4.19513635233114e-06 0.961937608924486
SOX18 0.0622901477467308 0.235949524359887 0.0499247110695331 0.0658395151432652 7.29948931326786e-20 3.00640420061516e-17 0.0511973936457149 0.000526345874490113
KRT19 -0.557265377577282 0.528742161413482 0.301063906035835 0.281973991760848 1.07085718949233e-74 0 7.67779171720526e-77 2.03781757696409e-107
RB1 0.113689999659775 0.295458084459036 0.212700779577044 0.178559503455269 1.04621464874238e-07 6.80860700050845e-28 1.27222760484772e-20 7.29156511791469e-27
CD14 -0.115660607461473 0.613645209718866 0.225981453126611 0.201362385357325 4.09522859257165e-06 5.9671096177173e-187 3.06551437834809e-25 1.729647369883e-37
CD68 0.243914107325915 0.15867397888463 0.122698281575009 0.0843412848341557 1.59145104337357e-31 3.02230960653319e-08 3.02599548481426e-07 1.64895511551959e-06
TMEM45B 0.126163084209824 0.157964301881784 0.16124322183314 0.233203883798885 3.95387129438591e-12 5.43292304912287e-08 2.75257840561722e-11 6.42986870227279e-45
GRB7 0.133762130305064 0.0792819896561827 0.0579905580367661 0.0933834688679129 8.16680853221399e-34 0.0117773194800059 0.0188619453679887 3.87454647464987e-07
MYL9 -0.0791487787402835 0.580325950271702 0.224744122814173 0.198128414255441 0.00233551850120666 8.06081615918309e-156 5.19903980869834e-24 1.97298410577252e-33
MAPK13 -0.0967509885291578 0.674202449096061 0.244527909602405 0.108923780579052 2.5850345919711e-05 1.0540791893123e-241 1.96240311227315e-29 9.84423923991064e-12
ACTA2 -0.153417902478397 0.538106020017235 0.229763786244032 0.389150156098539 8.51529385278692e-18 2.57693877716239e-132 3.24289517407931e-27 2.24145691997289e-141
PDCD1 0.0936167470488184 0.0222380924082944 0.017713520097287 0.0267455351902587 5.9224268066767e-38 0.489420594101005 0.501367487524929 0.180846439699995
CTSL 0.365477668585016 0.305402062675445 0.194571084258559 0.107034918192454 2.80538266531218e-16 2.23066473102699e-28 4.95794749320516e-14 2.49181414222288e-10
CENPF -0.136778351668715 0.750586990932898 0.239350449731114 0.200932960375881 8.32645083937115e-29 0 3.44143259003368e-35 4.0644705549658e-39
IL32 -0.524388922514888 0.689070731096698 0.129434566100185 0.328219250607763 6.70549810834319e-42 0 7.71488509584625e-12 1.10112912502314e-123
BCL2 0.00811385545728322 0.441906483416564 0.282299785850547 0.157584628550184 0.597480261514689 1.11708144171548e-79 1.06890659179539e-36 6.78199182600633e-21
KRT5 0.0906202010931499 0.287075607866035 0.106794647913023 0.0791627481164469 1.76114488026826e-16 8.36588874071408e-26 1.28884344960743e-05 1.51350590882068e-05
CD69 0.1213793491202 0.169526150050757 0.144153823491549 0.0672414688772819 3.98634364710634e-26 8.74243805208253e-10 2.11768429039438e-09 0.000202547995287447
MYLK -0.263322446893644 0.68690717418467 0.220894531664025 0.19174942060096 8.46587037500519e-15 8.90100481144199e-274 2.47147875824078e-24 4.41760248557291e-35
ACTG2 0.0201933242690992 0.226998871449771 0.111702108910273 0.251234490752136 2.45122278774238e-05 1.11428013779482e-13 6.03596377865948e-06 1.69743597903756e-40
SOX4 -0.302659493774354 0.674662707117085 0.138329012468256 0.285626749167191 2.74013409928209e-25 0 5.32833810200055e-13 4.45748639981436e-89
CD163 -0.327769174728437 0.843582860437731 0.0719257277220437 0.302299622653993 1.46507591895627e-39 0 0.000257551302134353 6.97160696385999e-93
PDPN 0.0490661579276239 -0.0139852382374073 0.0848150519163818 0.0159069521694705 1.69785899531035e-26 0.67104656956811 0.00132622314410646 0.419938063625927
RPL13 0.9058006058552 0.0135891954042387 0.0573431529287386 0.0935496712719383 5.47219010919726e-68 0.655655310488872 0.0314103702167143 3.07272383971646e-08
GSN -0.0125470667139821 0.500801873648611 0.283126274175142 0.145924430022331 0.485813359570061 9.07021453851043e-108 1.34440091301535e-36 7.4509117548971e-19
FCGR3A -0.00817238150140701 0.626791443965928 0.159439448101991 0.133180743102469 0.801412515043091 1.12206394032119e-186 1.11756983662122e-11 5.83153077743013e-15
CXCR5 0.113928136202636 0.0726466723092961 0.0521512639999301 0.0132040649741205 3.65544070026725e-38 0.018485613699857 0.0404692749057778 0.486543226849268
MAPK3 0.235694909122102 0.233641983849702 0.172919731985714 0.0880100196227115 2.51178652966268e-26 4.30337278729987e-18 1.49676739915062e-13 2.5684042931331e-07
CEP55 -0.136869746206865 0.781009813691469 0.185913833055608 0.161048365023319 1.73910195870316e-17 0 1.99172399053666e-20 1.98984525822545e-24
IL3RA 0.0845026344622857 0.20741303086328 0.109867648283861 0.0488003644077457 7.3577093321387e-20 9.4953370552192e-12 7.48496419125727e-06 0.00934623996077904
KRT7 0.0217903708171435 0.210609493121199 0.169617929669574 0.35315869468223 0.00908364028372944 1.43587128957892e-14 1.8548948393361e-12 3.36744020268458e-96
BGN -0.813294411879413 0.895687826984479 0.0421723548778147 0.312213392928136 2.82667151699394e-109 0 0.00742705477339464 6.99917178955735e-118
TMSB10 -0.904172549211473 0.805411306686428 0.0727911320686594 0.256434804086825 2.28736740128309e-23 0 0.000361932738575409 1.33896642263389e-68
CD7 0.0744104868489638 0.112341082435468 0.022829271833429 -0.0201335117439687 5.37071460623781e-32 0.000344062558432683 0.381970774226259 0.312661314142642
SPDEF -0.111512024537529 0.74746407292256 0.206192080092477 0.105569949622097 4.18310915827324e-09 0 4.58618089713375e-24 5.85276775128353e-12
CD19 0.0879182076864208 0.0305667835371256 0.0304235403449406 -0.00444330233008751 5.87966680065952e-39 0.332292641219777 0.223244266260895 0.820806981590071
ACTR3B 0.34986874815023 0.16630271004024 0.128435695294367 0.0742619096574142 1.12185152127716e-34 4.76755495392665e-09 2.45179125247807e-07 1.5342168087282e-05
MYO10 -0.0443723290168275 0.662438633052058 0.177678906098334 0.141626201548445 0.00713514923917822 5.49957135332404e-221 3.23019997109672e-16 7.57183182940188e-17
PDZK1IP1 0.339638885366102 0.00399486477941339 0.118040067676894 -0.00705950061120357 4.14683193222564e-64 0.889335268616797 1.05799537092827e-06 0.692592107496281
IL7R 0.00550351604806276 0.409740745324539 0.206548127826277 0.211414809599485 0.404575216247131 6.72229836721822e-53 1.81936656587196e-18 3.83203519966528e-31
FCN1 -0.0748119607039493 0.503894483813425 0.137523136299501 0.445353763877579 6.74404167627261e-08 1.11045914165965e-113 6.42301160880222e-10 4.16566628517593e-167
BICC1 0.0609046453361614 0.219636189285361 0.110295355446136 0.0918513194663735 4.72335862945162e-15 2.76083221558842e-13 1.24207962487418e-05 8.33921023590433e-07
RPL18 0.527451001919652 -0.0138979689985146 0.0511194503792202 0.0340133798474903 1.53172994482284e-75 0.639751164282157 0.0398076470252593 0.0523993372188272
CXXC5 0.0934570171658359 0.425501802995836 0.216383960158942 0.133626523961118 0.000102571026541389 3.69432842095816e-64 1.52559747884126e-20 9.40743423951928e-16
GZMB 0.0675861577088971 0.220557100356054 0.0915177452438456 0.0564339672827111 9.42635401872646e-19 8.37771454886187e-14 0.000308413500860916 0.00311173763222143
CLDN4 0.122939091284354 0.117198209242146 0.0802982222908396 0.0407839986718637 2.75136646082399e-35 6.05501859221741e-05 0.00115400441157851 0.0266068097116134
MDM2 -0.0933676823280509 0.603346462277975 0.153117918972742 0.275354538538637 0.000123078876613916 1.00523251345288e-141 4.47889454889598e-11 3.42215323721867e-66
CD74 -0.992734358817633 0.79676931766994 0.0902238589375766 0.352575672413866 6.64708400668909e-83 0 1.21083905184223e-06 3.19305828845131e-142
KRT8 -1.80172904192608 0.863475769084718 0.172039939549687 0.233044026031449 4.06900127432148e-116 0 1.94029044059786e-22 2.94682765313725e-63
CD2 -0.0347508029497859 0.693104207857409 0.151779414865865 0.220163002163723 0.000114076785703856 2.44580333738228e-210 1.14153797482155e-11 2.23875175286986e-35
SPP1 -0.0416715625801981 0.272103160213543 0.206725473618799 0.562833610990238 0.000116629181708773 1.85675900865429e-25 2.00535143324545e-19 2.29884938288863e-296
