target intercept intra para.100 p.intercept p.intra p.para.100
Endothelial 0.717352232113772 -48.6072036903375 0.870259594697205 1.8788186581772e-09 1.98450099041486e-09 0
MBC 39.4184905882669 -49.479626028252 0.86183429362034 1.158549142005e-12 1.3326774860884e-12 0
B 0.568147107700916 -51.603791009818 0.357381467675145 3.1652497330225e-12 5.58884422989231e-12 2.45819558952075e-19
NK 0.184507755051671 -62.1055383885086 0.222397745122181 7.49329578373478e-18 1.83827269927018e-17 6.83438389559168e-07
Fibroblast 0.467743324500228 -49.4262420238456 0.761527859680101 5.19506141841699e-13 6.3446678101671e-13 1.20939967686294e-145
Hepatocyte 1.86875951519679 -47.2373294352928 0.262644589853634 5.84691484586393e-10 1.04401143874003e-09 6.6635852997651e-11
Monocyte 0.965592727784129 -48.7276690409119 0.661641866473842 2.4486302572085e-13 3.36581174577417e-13 2.12051165228519e-102
T 5.3531425475816 -61.3484651360915 0.640657243596365 3.34609989258553e-18 4.93659501624188e-18 9.73000217542814e-118
Macrophage 1.39584651906085 -62.7082164512951 0.64368963304949 4.83903229570562e-16 6.68626670351923e-16 1.35275797858524e-102
