target intercept intra para.100 p.intercept p.intra p.para.100
Endothelial 0.901477085847659 -51.3914792154464 0.518736864379086 2.03323101879564e-09 2.79711526392153e-09 8.99039576514819e-64
Hepatocyte 1.60922364454847 -29.2656603825488 0.930944238959348 3.12249938387309e-06 3.21020814591188e-06 0
MBC 38.954327145006 -46.8426093946455 0.894211729923756 1.22079908643091e-11 1.35533454390007e-11 0
Fibroblast 0.584633991375403 -56.6084150265342 0.321776275849673 4.86012342939129e-13 8.82296495475929e-13 2.17542064311638e-18
Macrophage 1.31626040603896 -51.0674961810117 0.645229753664287 1.95554180964556e-10 2.50899250413655e-10 2.31620862126803e-162
Monocyte 0.72682823396607 -52.2267716369445 0.724400665525048 2.29373484100669e-12 2.84685559879212e-12 2.54035305462708e-218
T 2.0969328248257 -55.9448585585621 0.394559371314154 1.40872048723183e-13 2.46948603832871e-13 9.62855546016126e-40
NK 0.651546430150998 -57.3965011278853 0.392292899019137 3.45779366868189e-16 6.77560494497367e-16 2.18626818072333e-33
